datetime,path,referrer,referrer_path,country,country_name,device,browser,os,event_type
2026-04-04T12:40:00Z,/asiakastarinat/sedu-english/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T15:35:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,iOS,visit
2026-04-04T13:45:00Z,/en/asiakastarinat/livia/,(direct),,GB,United Kingdom,mobile,ChromeMobile,Android,visit
2026-04-04T07:20:00Z,/,www.bing.com,/,IN,India,desktop,Edge,Windows,visit
2026-04-04T08:50:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T12:40:00Z,/asiakastarinat/bit-the-spectrum/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T10:20:00Z,/blog/impact-of-ai/,chatgpt.com,/,GR,Greece,desktop,Chrome,MacOSX,visit
2026-04-05T03:25:00Z,/blog/impact-of-ai/,(direct),,AU,Australia,mobile,MobileSafari,iOS,visit
2026-04-04T18:00:00Z,/en/simuna/,www.3dbear.io,/en/,OM,Oman,mobile,ChromeMobile,iOS,pageview
2026-04-04T08:30:00Z,/asiakastarinat/keuda/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T01:05:00Z,/blog/impact-of-ai/,www.google.com,/,US,United States,desktop,Chrome,Windows,visit
2026-04-05T03:55:00Z,/tags/uutiset/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T18:40:00Z,/blog/impact-of-ai/,www.google.com,/,PH,Philippines,desktop,Chrome,MacOSX,visit
2026-04-04T18:40:00Z,/blog/impact-of-ai/,www.google.com,/,ET,Ethiopia,desktop,Edge,Windows,visit
2026-04-04T13:50:00Z,/blog/impact-of-ai/,com.google.android.googlequicksearchbox,/,BD,Bangladesh,mobile,ChromeMobile,Android,visit
2026-04-04T07:40:00Z,/en/resurssit/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T10:25:00Z,/,(direct),,US,United States,desktop,Unknown,Unknown,visit
2026-04-04T10:40:00Z,/,(direct),,US,United States,desktop,Unknown,Unknown,visit
