datetime,path,referrer,referrer_path,country,device,browser,os,pageviews,visits
2026-04-04T13:50:00Z,/blog/impact-of-ai/,com.google.android.googlequicksearchbox,/,BD,mobile,ChromeMobile,Android,1,1
2026-04-04T07:40:00Z,/en/resurssit/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T10:25:00Z,/,(direct),,US,desktop,Unknown,Unknown,1,1
2026-04-04T10:40:00Z,/,(direct),,US,desktop,Unknown,Unknown,1,1
2026-04-04T06:10:00Z,/blog/impact-of-ai/,www.google.com,/,IN,desktop,Edge,Windows,1,1
2026-04-04T07:15:00Z,/simuna/liiketoiminta/,(direct),,NL,mobile,ChromeMobile,iOS,1,1
2026-04-05T03:00:00Z,/blog/impact-of-ai/,www.google.com,/,MY,desktop,Chrome,Windows,1,1
2026-04-04T20:30:00Z,/simuna/liiketoiminta/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T03:55:00Z,/,(direct),,US,desktop,Chrome,Linux,1,1
2026-04-04T11:35:00Z,/en/,www.3dbear.io,/,BG,desktop,Chrome,Windows,1,0
2026-04-04T13:40:00Z,/tags/higher-education/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T03:40:00Z,/,(direct),,NL,desktop,Chrome,Linux,1,1
2026-04-04T18:45:00Z,/en/privacy/,(direct),,CN,desktop,Unknown,Unknown,1,1
2026-04-04T23:10:00Z,/,(direct),,US,desktop,Edge,MacOSX,1,1
2026-04-04T20:20:00Z,/tiimi/anina-luoma/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T16:15:00Z,/en/asiakastarinat/hygge-koulu/,(direct),,DE,mobile,ChromeMobile,Android,1,1
2026-04-05T02:05:00Z,/blog/impact-of-ai/,www.google.com,/,NG,mobile,ChromeMobile,Android,1,1
2026-04-04T07:40:00Z,/tiimi/sara-saloniemi/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T01:40:00Z,/asiakastarinat/jamk-robot/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T04:15:00Z,/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T18:50:00Z,/en/,www.3dbear.io,/,IT,mobile,Unknown,Unknown,1,0
